"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","37","Week 37","Number","167122"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","38","Week 38","Number","167668"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","39","Week 39","Number","158986"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","40","Week 40","Number","153341"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","41","Week 41","Number","136574"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","42","Week 42","Number","130745"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","43","Week 43","Number","111940"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","44","Week 44","Number","89263"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","45","Week 45","Number","108262"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","46","Week 46","Number","112432"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","47","Week 47","Number","115487"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","48","Week 48","Number","119023"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","49","Week 49","Number","142709"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","50","Week 50","Number","149927"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","51","Week 51","Number","164733"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","52","Week 52","Number","126966"
"THA21C01","Average weekly volume of cars","2020","2020","20","Selected traffic sites - Regional","53","Week 53","Number","81881"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","01","Week 01","Number","272255"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","02","Week 02","Number","255928"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","03","Week 03","Number","258384"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","04","Week 04","Number","265613"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","05","Week 05","Number","274482"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","06","Week 06","Number","274363"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","07","Week 07","Number","292400"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","08","Week 08","Number","304825"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","09","Week 09","Number","319482"
"THA21C01","Average weekly volume of cars","2021","2021","10","Selected traffic sites - Dublin","10","Week 10","Number","333343"
