Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Carlingford,Louth,54.0468677,-6.190181,174,2,4,10,1120,268,1578,0,Town (Small)
Carlow,Carlow,52.835854,-6.932474399999999,1208,122,114,478,22762,7268,31952,3,Town (Medium)
Carndonagh,Donegal,55.2506229,-7.266890500000001,204,0,22,4,2462,456,3148,0,Town (Small)
Carnew,Wicklow,52.7096658,-6.4992316,32,0,4,10,908,400,1354,0,Town (Small)
Carney,Sligo,54.3386704,-8.5277091,118,0,2,4,458,12,594,0,Town (Small)
Carragh,Kildare,53.2371324,-6.7289787,188,0,0,92,1018,220,1518,0,Town (Small)
Carraig Airt,Donegal,55.1775506,-7.793277699999999,54,0,0,0,204,26,284,0,Town (Small)
Carrick-On-Shannon,Leitrim,53.945181,-8.0863766,176,10,14,54,4310,1096,5660,0,Town (Small)
Carrick-on-Suir,Tipperary,52.3467186,-7.414770799999999,584,6,6,14,4312,1232,6154,0,Town (Small)
Carrickmacross,Monaghan,53.9779778,-6.7188238,482,8,38,2,4738,1574,6842,0,Town (Small)
Carrig on Bannow,Wexford,52.2385344,-6.7321656,84,0,2,0,322,50,458,0,Town (Small)
Carrigaline,Cork,51.8164452,-8.3912494,1796,58,64,26,20048,3152,25144,3,Town (Medium)
Carrigallen,Leitrim,53.9769348,-7.644325899999999,10,0,0,6,426,144,586,0,Town (Small)
Carrigans,Donegal,54.9512185,-7.428285199999999,54,0,2,2,374,18,450,0,Town (Small)
Carrigkerry,Limerick,52.49449,-9.1486153,26,0,0,0,154,20,200,0,Town (Small)
Carrignavar,Cork,51.9891078,-8.477924,4,0,2,4,636,114,760,0,Town (Small)
Carrigtwohill,Cork,51.9094919,-8.2589402,396,32,12,186,5990,1530,8146,0,Town (Small)
Carrowkeel,Donegal,55.137713,-7.663875699999999,62,0,0,0,274,68,404,0,Town (Small)
Cashel,Tipperary,52.51590969999999,-7.8915829,166,4,20,22,3842,1466,5520,0,Town (Small)
Castlebar,Mayo,53.8550014,-9.287925699999999,460,12,46,52,11318,3494,15382,3,Town (Medium)
Castlebellingham-Kilsaran,Louth,53.89811,-6.3895,150,6,4,8,962,134,1264,0,Town (Small)
Castleblayney,Monaghan,54.120659,-6.7397374,178,6,24,10,3394,1050,4662,0,Town (Small)
Castlebridge,Wexford,52.3824281,-6.4502872,176,6,4,6,1956,250,2398,0,Town (Small)
Castlecomer,Kilkenny,52.8052843,-7.210312699999998,66,2,0,6,1230,328,1632,0,Town (Small)
Castleconnell,Limerick,52.7129297,-8.500052499999999,350,8,18,16,2466,320,3178,0,Town (Small)
Castledermot,Kildare,52.9118755,-6.837567,62,0,16,18,1506,450,2052,0,Town (Small)
Castlefinn,Donegal,54.802999,-7.5895814,152,0,8,2,514,104,780,0,Town (Small)
Castlegregory,Kerry,52.25346510000001,-10.0207218,12,2,4,2,352,62,434,0,Town (Small)
Castleisland,Kerry,52.2328974,-9.4601492,84,0,16,4,2208,476,2788,0,Town (Small)
Castlelyons,Cork,52.0885669,-8.233699,70,0,0,0,484,14,568,0,Town (Small)
Castlemagner,Cork,51.8985143,-8.4756035,42,0,8,6,452,2,510,0,Town (Small)
Castlemaine,Kerry,52.1684322,-9.7014756,6,0,2,0,184,12,204,0,Town (Small)
Castlemartyr,Cork,51.9119477,-8.0535486,286,4,10,6,1402,390,2098,0,Town (Small)
Castlepollard,Westmeath,53.6800722,-7.2964508,56,0,6,4,1052,310,1428,0,Town (Small)
Castlerea,Roscommon,53.7686571,-8.4924537,104,6,22,38,1510,336,2016,0,Town (Small)
Castletown,Laois,52.9774693,-7.4995604,46,0,2,4,422,70,544,0,Town (Small)
Castletown Geoghegan,Westmeath,53.4462801,-7.487606899999999,38,0,2,4,274,30,348,0,Town (Small)
Castletownbere,Cork,51.65149539999999,-9.910330199999999,12,0,4,0,756,384,1156,0,Town (Small)
Castletownroche,Cork,52.1731113,-8.4634479,40,0,6,4,384,114,548,0,Town (Small)
Castletownshend,Cork,51.5265757,-9.179386899999999,6,0,2,2,126,14,150,0,Town (Small)
Causeway,Kerry,52.41442199999999,-9.7330771,2,0,2,0,184,30,218,0,Town (Small)
Cavan,Cavan,53.9897186,-7.3633319,846,20,48,26,10680,2234,13854,3,Town (Medium)
Celbridge,Kildare,53.3383911,-6.5397633,3912,124,34,892,16910,5594,27466,3,Town (Medium)
Charlestown-Bellahy,Mayo,53.964167,-8.795278,54,0,12,2,1072,322,1462,0,Town (Small)
Charleville,Cork,52.3556889,-8.6840314,182,10,16,12,3144,968,4332,0,Town (Small)
Cheekpoint,Waterford,52.2698641,-7.0009247,20,0,6,4,242,10,282,0,Town (Small)
Churchtown,Cork,52.2713057,-8.730869199999999,60,0,0,16,570,162,808,0,Town (Small)
Cill Charthaigh,Donegal,54.6323944,-8.5894621,54,0,2,0,344,50,450,0,Town (Small)
Cill Rónáin,Galway,53.1232125,-9.670372799999999,16,0,4,2,114,96,232,0,Town (Small)
Clane,Kildare,53.293785,-6.6870404,946,24,18,178,7760,2064,10990,0,Town (Small)
Clara,Offaly,53.3425103,-7.613480099999999,184,4,14,80,3092,654,4028,0,Town (Small)
Claremorris,Mayo,53.72387639999999,-9.0017356,474,16,6,26,3320,736,4578,0,Town (Small)
Clarina,Limerick,52.63209,-8.73269,42,0,2,0,682,36,762,0,Town (Small)
Clarinbridge,Galway,53.2293077,-8.8773824,112,0,4,8,994,88,1206,0,Town (Small)
Clashmore,Waterford,52.0093569,-7.8188756,54,2,0,0,256,46,358,0,Town (Small)
Clifden,Galway,53.4891345,-10.0202388,64,0,6,6,712,504,1292,0,Town (Small)
Cliffony,Sligo,54.430559,-8.453432399999999,52,2,6,0,454,58,572,0,Town (Small)
Clogh,Kilkenny,52.8710161,-7.1642467,42,0,4,2,274,14,336,0,Town (Small)
Cloghan,Offaly,53.2252399,-7.8825143,76,0,8,2,590,74,750,0,Town (Small)
