Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
11/10/1984,0,0.661206036,0.654245973,0.654245973,220000,0,0,1984,10,11,0.654245973,Up
12/10/1984,0,0.661206036,0.654245973,0.654245973,445200,0,0,1984,10,12,0.654245973,Up
15/10/1984,0,0.654246062,0.647285998,0.647285998,594400,0,0,1984,10,15,0.647285998,Up
16/10/1984,0,0.633366141,0.626406074,0.626406074,969600,0,0,1984,10,16,0.626406074,Up
17/10/1984,0,0.626405384,0.619445324,0.619445324,926800,0,0,1984,10,17,0.619445324,Up
18/10/1984,0,0.633366141,0.626406074,0.626406074,694000,0,0,1984,10,18,0.626406074,Up
19/10/1984,0,0.647285908,0.640325844,0.640325844,2410400,0,0,1984,10,19,0.640325844,Up
22/10/1984,0,0.640325814,0.63336575,0.63336575,856800,0,0,1984,10,22,0.63336575,Up
23/10/1984,0,0.661206036,0.654245973,0.654245973,832800,0,0,1984,10,23,0.654245973,Up
24/10/1984,0,0.66816607,0.661206007,0.661206007,622400,0,0,1984,10,24,0.661206007,Up
25/10/1984,0,0.66816607,0.661206007,0.661206007,762400,0,0,1984,10,25,0.661206007,Up
26/10/1984,0,0.675126104,0.668166041,0.668166041,1169200,0,0,1984,10,26,0.668166041,Up
29/10/1984,0,0.675126104,0.668166041,0.668166041,795200,0,0,1984,10,29,0.668166041,Up
30/10/1984,0,0.682086199,0.675126135,0.675126135,726800,0,0,1984,10,30,0.675126135,Up
31/10/1984,0,0.689046413,0.682086349,0.682086349,790800,0,0,1984,10,31,0.682086349,Up
01/11/1984,0,0.702966542,0.696006477,0.696006477,1276400,0,0,1984,11,1,0.696006477,Up
02/11/1984,0,0.709926395,0.702966332,0.702966332,1710800,0,0,1984,11,2,0.702966332,Up
05/11/1984,0,0.723846824,0.716886759,0.716886759,1395600,0,0,1984,11,5,0.716886759,Up
06/11/1984,0,0.71688661,0.709926546,0.709926546,1257600,0,0,1984,11,6,0.709926546,Up
07/11/1984,0,0.709926395,0.702966332,0.702966332,766400,0,0,1984,11,7,0.702966332,Up
08/11/1984,0,0.696006267,0.689046204,0.689046204,1138400,0,0,1984,11,8,0.689046204,Up
09/11/1984,0,0.696006267,0.689046204,0.689046204,889600,0,0,1984,11,9,0.689046204,Up
12/11/1984,0,0.71688661,0.709926546,0.709926546,975600,0,0,1984,11,12,0.709926546,Up
13/11/1984,0,0.71688661,0.709926546,0.709926546,1032400,0,0,1984,11,13,0.709926546,Up
14/11/1984,0,0.71688661,0.709926546,0.709926546,558800,0,0,1984,11,14,0.709926546,Up
15/11/1984,0,0.709926395,0.702966332,0.702966332,801600,0,0,1984,11,15,0.702966332,Up
16/11/1984,0,0.709926395,0.702966332,0.702966332,936000,0,0,1984,11,16,0.702966332,Up
19/11/1984,0,0.696006267,0.689046204,0.689046204,1008800,0,0,1984,11,19,0.689046204,Up
20/11/1984,0,0.689046413,0.682086349,0.682086349,1171600,0,0,1984,11,20,0.682086349,Up
21/11/1984,0,0.702966542,0.696006477,0.696006477,2378800,0,0,1984,11,21,0.696006477,Up
23/11/1984,0,0.689046413,0.682086349,0.682086349,418400,0,0,1984,11,23,0.682086349,Up
26/11/1984,0,0.682086199,0.675126135,0.675126135,633200,0,0,1984,11,26,0.675126135,Up
27/11/1984,0,0.689046413,0.682086349,0.682086349,739600,0,0,1984,11,27,0.682086349,Up
28/11/1984,0,0.696006267,0.689046204,0.689046204,1160800,0,0,1984,11,28,0.689046204,Up
29/11/1984,0,0.702966542,0.696006477,0.696006477,669200,0,0,1984,11,29,0.696006477,Up
30/11/1984,0,0.702966542,0.696006477,0.696006477,1006800,0,0,1984,11,30,0.696006477,Up
03/12/1984,0,0.709926395,0.702966332,0.702966332,510000,0,0,1984,12,3,0.702966332,Up
04/12/1984,0,0.709926395,0.702966332,0.702966332,572400,0,0,1984,12,4,0.702966332,Up
05/12/1984,0,0.696006267,0.689046204,0.689046204,1008800,0,0,1984,12,5,0.689046204,Up
06/12/1984,0,0.702966542,0.696006477,0.696006477,1001200,0,0,1984,12,6,0.696006477,Up
07/12/1984,0,0.709926395,0.702966332,0.702966332,590800,0,0,1984,12,7,0.702966332,Up
10/12/1984,0,0.723846824,0.716886759,0.716886759,1130400,0,0,1984,12,10,0.716886759,Up
11/12/1984,0,0.737766471,0.73080641,0.73080641,2398400,0,0,1984,12,11,0.73080641,Up
12/12/1984,0,0.71688661,0.709926546,0.709926546,779200,0,0,1984,12,12,0.709926546,Up
13/12/1984,0,0.71688661,0.709926546,0.709926546,1014800,0,0,1984,12,13,0.709926546,Up
14/12/1984,0,0.730806197,0.723846138,0.723846138,1212000,0,0,1984,12,14,0.723846138,Up
17/12/1984,0,0.71688661,0.709926546,0.709926546,652400,0,0,1984,12,17,0.709926546,Up
18/12/1984,0,0.723846824,0.716886759,0.716886759,711200,0,0,1984,12,18,0.716886759,Up
19/12/1984,0,0.71688661,0.709926546,0.709926546,1783600,0,0,1984,12,19,0.709926546,Up
20/12/1984,0,0.709926395,0.702966332,0.702966332,694400,0,0,1984,12,20,0.702966332,Up
21/12/1984,0,0.702966542,0.696006477,0.696006477,714400,0,0,1984,12,21,0.696006477,Up
24/12/1984,0,0.702966542,0.696006477,0.696006477,166800,0,0,1984,12,24,0.696006477,Up
26/12/1984,0,0.702966542,0.696006477,0.696006477,199200,0,0,1984,12,26,0.696006477,Up
27/12/1984,0,0.709926395,0.702966332,0.702966332,1248000,0,0,1984,12,27,0.702966332,Up
28/12/1984,0,0.709926395,0.702966332,0.702966332,808800,0,0,1984,12,28,0.702966332,Up
31/12/1984,0,0.709926395,0.702966332,0.702966332,614800,0,0,1984,12,31,0.702966332,Up
02/01/1985,0,0.702966542,0.696006477,0.696006477,447200,0,0,1985,1,2,0.696006477,Up
03/01/1985,0,0.696006267,0.689046204,0.689046204,1008000,0,0,1985,1,3,0.689046204,Up
04/01/1985,0,0.702966542,0.696006477,0.696006477,637200,0,0,1985,1,4,0.696006477,Up
07/01/1985,0,0.709926395,0.702966332,0.702966332,602400,0,0,1985,1,7,0.702966332,Up
08/01/1985,0,0.71688661,0.709926546,0.709926546,1232400,0,0,1985,1,8,0.709926546,Up
09/01/1985,0,0.723846824,0.716886759,0.716886759,555600,0,0,1985,1,9,0.716886759,Up
10/01/1985,0,0.71688661,0.709926546,0.709926546,580800,0,0,1985,1,10,0.709926546,Up
