"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","20","Bus, excluding Dublin Metro","Number","143429"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","30","Rail","Number","77149"
"THA25C01","Passenger Journeys","2020W13","2020 Week 13","40","All public transport, excluding LUAS","Number","814041"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","10","Dublin Metro Bus","Number","365560"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","20","Bus, excluding Dublin Metro","Number","85598"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","30","Rail","Number","26302"
"THA25C01","Passenger Journeys","2020W14","2020 Week 14","40","All public transport, excluding LUAS","Number","477460"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","10","Dublin Metro Bus","Number","374262"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","20","Bus, excluding Dublin Metro","Number","91529"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","30","Rail","Number","23231"
"THA25C01","Passenger Journeys","2020W15","2020 Week 15","40","All public transport, excluding LUAS","Number","489022"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","10","Dublin Metro Bus","Number","361266"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","20","Bus, excluding Dublin Metro","Number","85871"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","30","Rail","Number","28071"
"THA25C01","Passenger Journeys","2020W16","2020 Week 16","40","All public transport, excluding LUAS","Number","475208"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","10","Dublin Metro Bus","Number","408826"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","20","Bus, excluding Dublin Metro","Number","100755"
"THA25C01","Passenger Journeys","2020W17","2020 Week 17","30","Rail","Number","32787"
